strategy,kind,seed,period,in_sample,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,n_days,avg_daily_turnover,ann_turnover,avg_w_SPY,avg_w_IEF,avg_w_GLD
random,baseline,-1,covid_crash,False,-0.19475698986644618,-0.4404947056816775,0.28213700871825703,-1.9114000318456954,-1.7533637194575717,-0.2410184880877363,-1.8276386561736593,0.027097378044394518,0.055668056802223774,94,0.8562725887587245,215.78069236719855,0.3190599553189756,0.3991521012398327,0.2817879434411918
DQN,rl,0,covid_crash,False,-0.062382097169701,-0.15859404665285903,0.35598621190018337,-0.30627484435183344,-0.3162975247618159,-0.22486801548872049,-0.705276143021835,0.03437981332298948,0.05965854070608197,94,0.6368295644946509,160.481050252652,0.46286132328065155,0.35106382978723405,0.18607484693211448
DQN,rl,1,covid_crash,False,-0.05428071012968427,-0.13896224429018944,0.41588957264936505,-0.15207700423028367,-0.17768052952421182,-0.2450526578057728,-0.5670709533798652,0.037326212689127926,0.06814238839810269,94,0.466291543770794,117.50546903024009,0.6541987999715407,0.18092142103111503,0.1648797789973442
DQN,rl,2,covid_crash,False,0.021236011528356746,0.05795152918365076,0.35460410525037517,0.3367653708945589,0.3630060200407653,-0.26924184480057445,0.21523968247422703,0.028279177527515877,0.058404814752093505,94,0.7263472539557403,183.03950799684657,0.3081539898678354,0.34077807510711633,0.35106793502504835
DQN,rl,3,covid_crash,False,-0.11142915926082064,-0.27146394886774083,0.35298501435702595,-0.7176253337293214,-0.6387758740621339,-0.28926842059883495,-0.9384499984677351,0.033258270425487936,0.06746429045321418,94,0.4510664451355024,113.66874417414661,0.17568687351563553,0.622252438725995,0.20206068775836955
DQN,rl,4,covid_crash,False,-0.08107085361339439,-0.20280497099788464,0.35401050556148533,-0.4626421461958554,-0.4686611752945759,-0.20047026370229537,-1.011646152663601,0.032205573662479246,0.06035506807989088,94,0.9764998760947822,246.0779687758851,0.3562148571741783,0.39646788065009503,0.2473172621757267
PPO,rl,0,covid_crash,False,-0.009734752763581822,-0.02588438263392223,0.405160380056126,0.1371480310857778,0.15335090327461043,-0.22658496821116303,-0.11423698067119618,0.043078827272544085,0.06437998830238076,94,0.6476100102187592,163.19772257512733,0.3831032061246359,0.22905831662479934,0.3878384772505649
PPO,rl,1,covid_crash,False,-0.1412644024790244,-0.3352060174071949,0.397674991763625,-0.8257870889969342,-0.8907790174538673,-0.3799155161813541,-0.8823172603647571,0.042691239785877785,0.06898016124556497,94,0.7150039610804299,180.18099819226833,0.6592088605926123,0.13616543897097394,0.20462570043641387
PPO,rl,2,covid_crash,False,-0.010955073153967154,-0.029099195000097167,0.3631130984730919,0.09657627628424446,0.1422916743099527,-0.2296011779948608,-0.1267380039345813,0.04058579231855795,0.04722874727490489,94,0.648471337673111,163.414777093624,0.5902527184148707,0.19933030158489135,0.2104169800002379
PPO,rl,3,covid_crash,False,0.06253855569987365,0.17659286822986342,0.38947656305069084,0.6107287019041842,0.7518347023955081,-0.19325128245444556,0.9137992047814276,0.034835673981007266,0.056656964213000635,94,0.7204111645993235,181.54361347902952,0.39948659956883625,0.40347361382531105,0.19703978660585264
PPO,rl,4,covid_crash,False,0.05475735420091987,0.15363539119360037,0.31347724597283283,0.6106553544007677,0.7821994548391482,-0.22844134429983565,0.6725375901831047,0.028761412612278468,0.04509496584790165,94,0.947343271183317,238.73050433819589,0.26087765743825486,0.2771808591210099,0.46194148344073516
